State/Region        Code    Number    Plate Rule    Township
Ayeyarwady          AYY     1         AYY-1         Kangyidaunt
Ayeyarwady          AYY     2         AYY-2         Kyaunggon
Ayeyarwady          AYY     3         AYY-3         Kyonpyaw
Ayeyarwady          AYY     4         AYY-4         Ngapudaw
Ayeyarwady          AYY     5         AYY-5         Pathein
Ayeyarwady          AYY     6         AYY-6         Yekyi
Ayeyarwady          AYY     7         AYY-7         Thabaung
Ayeyarwady          AYY     8         AYY-8         Kyaiklat
Ayeyarwady          AYY     9         AYY-9         Dedaye
Ayeyarwady          AYY     10        AYY-10        Pyapon
Ayeyarwady          AYY     11        AYY-11        Bogale
Ayeyarwady          AYY     12        AYY-12        Nyaungdon
Ayeyarwady          AYY     13        AYY-13        Danubyu
Ayeyarwady          AYY     14        AYY-14        Pantanaw
Ayeyarwady          AYY     15        AYY-15        Maubin
Ayeyarwady          AYY     16        AYY-16        Myaungmya
Ayeyarwady          AYY     17        AYY-17        Wakema
Ayeyarwady          AYY     18        AYY-18        Einme
Ayeyarwady          AYY     19        AYY-19        Mawlamyinegyun
Ayeyarwady          AYY     20        AYY-20        Labutta
Ayeyarwady          AYY     21        AYY-21        Kyangin
Ayeyarwady          AYY     22        AYY-22        Zalun
Ayeyarwady          AYY     23        AYY-23        Myanaung
Ayeyarwady          AYY     24        AYY-24        Lemyethna
Ayeyarwady          AYY     25        AYY-25        Hinthada
Ayeyarwady          AYY     26        AYY-26        Ingapu
Bago                BGO     1         BGO-1         Kyaukkyi
Bago                BGO     2         BGO-2         Taungoo
Bago                BGO     3         BGO-3         Htantabin
Bago                BGO     4         BGO-4         Phyu
Bago                BGO     5         BGO-5         Yedashe
Bago                BGO     6         BGO-6         Oktwin
Bago                BGO     7         BGO-7         Kawa
Bago                BGO     8         BGO-8         Kyauktaga
Bago                BGO     9         BGO-9         Nyaunglebin
Bago                BGO     10        BGO-10        Daik-U
Bago                BGO     11        BGO-11        Bago
Bago                BGO     12        BGO-12        Shwegyin
Bago                BGO     13        BGO-13        Waw
Bago                BGO     14        BGO-14        Thanatpin
Bago                BGO     15        BGO-15        Paukkhaung
Bago                BGO     16        BGO-16        Paungde
Bago                BGO     17        BGO-17        Padaung
Bago                BGO     18        BGO-18        Pyay
Bago                BGO     19        BGO-19        Shwedaung
Bago                BGO     20        BGO-20        Thegon
Bago                BGO     21        BGO-21        Gyobingauk
Bago                BGO     22        BGO-22        Zigon
Bago                BGO     23        BGO-23        Nattalin
Bago                BGO     24        BGO-24        Monyo
Bago                BGO     25        BGO-25        Minhla
Bago                BGO     26        BGO-26        Letpadan
Bago                BGO     27        BGO-27        Thayarwady
Bago                BGO     28        BGO-28        Okpho
Chin                CHN     1         CHN-1         Tedim
Chin                CHN     2         CHN-2         Tonzang
Chin                CHN     3         CHN-3         Falam
Chin                CHN     4         CHN-4         Kanpetlet
Chin                CHN     5         CHN-5         Paletwa
Chin                CHN     6         CHN-6         Matupi
Chin                CHN     7         CHN-7         Mindat
Chin                CHN     8         CHN-8         Thantlang
Chin                CHN     9         CHN-9         Hakha
Kayah               KYH     1         KYH-1         Hpasawng
Kayah               KYH     2         KYH-2         Bawlakhe
Kayah               KYH     3         KYH-3         Mese
Kayah               KYH     4         KYH-4         Demoso
Kayah               KYH     5         KYH-5         Hpruso
Kayah               KYH     6         KYH-6         Shadaw
Kayah               KYH     7         KYH-7         Loikaw
Kachin              KCN     1         KCN-1         Khaunglanhpu
Kachin              KCN     2         KCN-2         Sumprabum
Kachin              KCN     3         KCN-3         Nawngmun
Kachin              KCN     4         KCN-4         Putao
Kachin              KCN     5         KCN-5         Machanbaw
Kachin              KCN     6         KCN-6         Bhamo
Kachin              KCN     7         KCN-7         Mansi
Kachin              KCN     8         KCN-8         Momauk
Kachin              KCN     9         KCN-9         Shwegu
Kachin              KCN     10        KCN-10        Hpakant
Kachin              KCN     11        KCN-11        Mogaung
Kachin              KCN     12        KCN-12        Mohnyin
Kachin              KCN     13        KCN-13        Chipwi
Kachin              KCN     14        KCN-14        Sawlaw
Kachin              KCN     15        KCN-15        Tanai
Kachin              KCN     16        KCN-16        Myitkyina
Kachin              KCN     17        KCN-17        Waingmaw
Kachin              KCN     18        KCN-18        Injangyang
Kayin               KYN     1         KYN-1         Kawkareik
Kayin               KYN     2         KYN-2         Kyarinseikgyi
Kayin               KYN     3         KYN-3         Hpapun
Kayin               KYN     4         KYN-4         Hpa-an
Kayin               KYN     5         KYN-5         Hlaingbwe
Kayin               KYN     6         KYN-6         Thandaunggyi
Kayin               KYN     7         KYN-7         Myawaddy
Magway              MGY     1         MGY-1         Gangaw
Magway              MGY     2         MGY-2         Saw
Magway              MGY     3         MGY-3         Tilin
Magway              MGY     4         MGY-4         Seikphyu
Magway              MGY     5         MGY-5         Pakokku
Magway              MGY     6         MGY-6         Pauk
Magway              MGY     7         MGY-7         Myaing
Magway              MGY     8         MGY-8         Yesagyo
Magway              MGY     9         MGY-9         Chauk
Magway              MGY     10        MGY-10        Taungdwingyi
Magway              MGY     11        MGY-11        Natmauk
Magway              MGY     12        MGY-12        Magway
Magway              MGY     13        MGY-13        Myothit
Magway              MGY     14        MGY-14        Yenangyaung
Magway              MGY     15        MGY-15        Ngape
Magway              MGY     16        MGY-16        Salin
Magway              MGY     17        MGY-17        Sidoktaya
Magway              MGY     18        MGY-18        Pwintbyu
Magway              MGY     19        MGY-19        Minbu
Magway              MGY     20        MGY-20        Kanma
Magway              MGY     21        MGY-21        Sinbaungwe
Magway              MGY     22        MGY-22        Mindon
Magway              MGY     23        MGY-23        Minhla
Magway              MGY     24        MGY-24        Thayet
Magway              MGY     25        MGY-25        Aunglan
Mandalay            MDY     1         MDY-1         Kyaukse
Mandalay            MDY     2         MDY-2         Sintgaing
Mandalay            MDY     3         MDY-3         Tada-U
Mandalay            MDY     4         MDY-4         Myittha
Mandalay            MDY     5         MDY-5         Kyaukpadaung
Mandalay            MDY     6         MDY-6         Nyaung-U
Mandalay            MDY     7         MDY-7         Singu
Mandalay            MDY     8         MDY-8         Pyin Oo Lwin
Mandalay            MDY     9         MDY-9         Mogok
Mandalay            MDY     10        MDY-10        Madaya
Mandalay            MDY     11        MDY-11        Thabeikkyin
Mandalay            MDY     12        MDY-12        Chanmyathazi
Mandalay            MDY     13        MDY-13        Chanayethazan
Mandalay            MDY     14        MDY-14        Pyigyitagon
Mandalay            MDY     15        MDY-15        Maha Aungmye
Mandalay            MDY     16        MDY-16        Aungmyethazan
Mandalay            MDY     17        MDY-17        Patheingyi
Mandalay            MDY     18        MDY-18        Amarapura
Mandalay            MDY     19        MDY-19        Mahlaing
Mandalay            MDY     20        MDY-20        Meiktila
Mandalay            MDY     21        MDY-21        Wundwin
Mandalay            MDY     22        MDY-22        Thazi
Mandalay            MDY     23        MDY-23        Ngazun
Mandalay            MDY     24        MDY-24        Taungtha
Mandalay            MDY     25        MDY-25        Natogyi
Mandalay            MDY     26        MDY-26        Myingyan
Mandalay            MDY     27        MDY-27        Pyawbwe
Mandalay            MDY     28        MDY-28        Yamethin
Mon                 MON     1         MON-1         Kyaikmaraw
Mon                 MON     2         MON-2         Chaungzon
Mon                 MON     3         MON-3         Mudon
Mon                 MON     4         MON-4         Mawlamyine
Mon                 MON     5         MON-5         Ye
Mon                 MON     6         MON-6         Thanbyuzayat
Mon                 MON     7         MON-7         Kyaikto
Mon                 MON     8         MON-8         Paung
Mon                 MON     9         MON-9         Bilin
Mon                 MON     10        MON-10        Thaton
Naypyitaw           NPW     1         NPW-1         Zabuthiri
Naypyitaw           NPW     2         NPW-2         Dekkhinathiri
Naypyitaw           NPW     3         NPW-3         Pyinmana
Naypyitaw           NPW     4         NPW-4         Lewe
Naypyitaw           NPW     5         NPW-5         Zeyathiri
Naypyitaw           NPW     6         NPW-6         Tatkon
Naypyitaw           NPW     7         NPW-7         Pobbathiri
Naypyitaw           NPW     8         NPW-8         Ottarahiri
Rakhine             RKE     1         RKE-1         Kyaukpyu
Rakhine             RKE     2         RKE-2         Manaung
Rakhine             RKE     3         RKE-3         Ramree
Rakhine             RKE     4         RKE-4         Ann
Rakhine             RKE     5         RKE-5         Sittwe
Rakhine             RKE     6         RKE-6         Pauktaw
Rakhine             RKE     7         RKE-7         Ponnagyun
Rakhine             RKE     8         RKE-8         Rathedaung
Rakhine             RKE     9         RKE-9         Buthidaung
Rakhine             RKE     10        RKE-10        Maungdaw
Rakhine             RKE     11        RKE-11        Kyauktaw
Rakhine             RKE     12        RKE-12        Minbya
Rakhine             RKE     13        RKE-13        Myebon
Rakhine             RKE     14        RKE-14        Mrauk-U
Rakhine             RKE     15        RKE-15        Gwa
Rakhine             RKE     16        RKE-16        Taungup
Rakhine             RKE     17        RKE-17        Thandwe
Sagaing             SGG     1         SGG-1         Kale
Sagaing             SGG     2         SGG-2         Kalewa
Sagaing             SGG     3         SGG-3         Mingin
Sagaing             SGG     4         SGG-4         Katha
Sagaing             SGG     5         SGG-5         Kawlin
Sagaing             SGG     6         SGG-6         Tigyaing
Sagaing             SGG     7         SGG-7         Pinlebu
Sagaing             SGG     8         SGG-8         Banmauk
Sagaing             SGG     9         SGG-9         Wuntho
Sagaing             SGG     10        SGG-10        Indaw
Sagaing             SGG     11        SGG-11        Kanbalu
Sagaing             SGG     12        SGG-12        Kyunhla
Sagaing             SGG     13        SGG-13        Taze
Sagaing             SGG     14        SGG-14        Ye-U
Sagaing             SGG     15        SGG-15        Hkamti
Sagaing             SGG     16        SGG-16        Nanyun
Sagaing             SGG     17        SGG-17        Lahe
Sagaing             SGG     18        SGG-18        Leshi
Sagaing             SGG     19        SGG-19        Homalin
Sagaing             SGG     20        SGG-20        Sagaing
Sagaing             SGG     21        SGG-21        Myinmu
Sagaing             SGG     22        SGG-22        Myaung
Sagaing             SGG     23        SGG-23        Tamu
Sagaing             SGG     24        SGG-24        Paungbyin
Sagaing             SGG     25        SGG-25        Mawlaik
Sagaing             SGG     26        SGG-26        Chaung-U
Sagaing             SGG     27        SGG-27        Budalin
Sagaing             SGG     28        SGG-28        Monywa
Sagaing             SGG     29        SGG-29        Ayadaw
Sagaing             SGG     30        SGG-30        Kani
Sagaing             SGG     31        SGG-31        Salingyi
Sagaing             SGG     32        SGG-32        Pale
Sagaing             SGG     33        SGG-33        Yinmabin
Sagaing             SGG     34        SGG-34        Khin-U
Sagaing             SGG     35        SGG-35        Depayin
Sagaing             SGG     36        SGG-36        Shwebo
Sagaing             SGG     37        SGG-37        Wetlet
Shan                SHN     1         SHN-1         Kyaukme
Shan                SHN     2         SHN-2         Namtu
Shan                SHN     3         SHN-3         Namsan
Shan                SHN     4         SHN-4         Hsipaw Area
Shan                SHN     5         SHN-5         Manton
Shan                SHN     6         SHN-6         Hsipaw
Shan                SHN     7         SHN-7         Kengtung
Shan                SHN     8         SHN-8         Mongkhet
Shan                SHN     9         SHN-9         Mongyang
Shan                SHN     10        SHN-10        Mongla
